ABE 艾貝
AERE 艾利
AGNES 愛娜斯
ALICE 愛麗斯
AMPIL 安比
AMUYAO 阿穆丘
AMY 愛媚
ANDY 安迪
ANGELA 安琪拉
ANITA 安妮黛
ATSANI 艾莎尼
BABE 貝貝
BABS 寶絲
BAILU 白鹿
BANG-LANG 班朗
BANYAN 榕樹
BARIJAT 百里嘉
BAVI 巴威
BEBINCA 貝碧嘉
BECKY 貝姬
BESS 比絲
BETH 貝芙
BETTY 比蒂
BILIS 碧利斯
BILLIE 比麗
BOLAVEN 布拉萬
BONNIE 邦妮
BOPHA 寶霞
BORI 布里
BRENDA 布倫達
BRENDAN 布倫登
BRIAN 布賴恩
BUALOI 博羅依
CAM 錦雯
CARLA 嘉娜
CARMEN 嘉曼
CAROL 嘉露
CARY 卡里
CEMPAKA 查帕卡
CHABA 暹芭
CHAMPI 薔琵
CHAN-HOM 燦鴻
CHANCHU 珍珠
CHANTHU 燦都
CHARLOTTE 夏綠蒂
CHEBI 飛燕
CHOI-WAN 彩雲
CHUCK 察克
CIMARON 西馬侖
CLARA 嘉麗
CO-MAY 竹節草
CONSON 康森
CORA 柯娜
DAMREY 達維
DAN 丹尼
DANAS 丹娜絲
DELLA 黛娜
DIANMU 電母
DINAH 戴娜
DOKSURI 杜蘇芮
DOLPHIN 白海豚
DORIS 桃麗斯
DOT 黛蒂
DUJUAN 杜鵑
DURIAN 榴槤
ED 義德
ELAINE 伊蘭
ELI 艾里
ELLEN 愛倫
ELLIS 艾利斯
ELSIE 愛茜
EMMA 愛瑪
ETAU 艾濤
EWINIAR 艾雲尼
FANAPI 凡亞比
FAXAI 法茜
FAYE 菲爾
FENGSHEN 風神
FITOW 菲特
FLOSSIE 霍蘿茜
FRAN 法蘭
FRANCISCO 范斯高
FRANKIE 法蘭基
FRED 法雷德
FREDA 法妮黛
FUNG-WONG 鳳凰
GAEMI 格美
GAENARI 簡拉維
GARY 加里
GEORGIA 喬治亞
GERALD 杰拉爾
GILDA 潔黛
GLORIA 姬羅莉亞
GONI 天鵝
GORDON 戈登
